scopus_id,article_number,title,eid,citedby_count,creator,aggregationType,coverDate,coverDisplayDate,doi,eIssn,issn,issueIdentifier,pageRange,publication,url,volume,subtype,subtype_description
SCOPUS_ID:85014741764,18,Mesenchymal stem cell-derived angiogenin promotes primodial follicle survival and angiogenesis in transplanted human ovarian tissue,2-s2.0-85014741764,0,Zhang Y.,Journal,2017-03-09,9 March 2017,10.1186/s12958-017-0235-8,14777827,,1,,Reproductive Biology and Endocrinology,http://api.elsevier.com/content/abstract/scopus_id/85014741764,15,ar,Article
SCOPUS_ID:84943774790,,Mesenchymal Stem Cells Facilitate in Vitro Development of Human Preantral Follicle,2-s2.0-84943774790,4,Xia X.,Journal,2015-11-01,1 November 2015,10.1177/1933719115578922,19337205,19337191,11,1367-1376,Reproductive Sciences,http://api.elsevier.com/content/abstract/scopus_id/84943774790,22,ar,Article
SCOPUS_ID:84943244656,,Mesenchymal stem cells enhance angiogenesis and follicle survival in human cryopreserved ovarian cortex transplantation,2-s2.0-84943244656,5,Xia X.,Journal,2015-01-01,13 October 2015,10.3727/096368914X685267,,09636897,10,1999-2010,Cell Transplantation,http://api.elsevier.com/content/abstract/scopus_id/84943244656,24,ar,Article
SCOPUS_ID:0033417557,,High performance Al-N cermet solar coatings deposited by a cylindrical direct current magnetron sputter coater,2-s2.0-0033417557,14,Zhang Q.,Journal,1999-09-01,September 1999,,,07342101,5,2885-2890,"Journal of Vacuum Science and Technology A: Vacuum, Surfaces and Films",http://api.elsevier.com/content/abstract/scopus_id/0033417557,17,ar,Article
SCOPUS_ID:0032173019,,New cermet solar coatings for solar thermal electricity applications,2-s2.0-0032173019,30,Zhang Q.,Journal,1998-09-01,September 1998,10.1016/S0038-092X(98)00064-4,,0038092X,1-3,109-114,Solar Energy,http://api.elsevier.com/content/abstract/scopus_id/0032173019,64,ar,Article
SCOPUS_ID:0032386482,,A cylindrical magnetron sputtering system for depositing metal-aluminium nitride cermet solar coatings onto batches of tubes,2-s2.0-0032386482,13,Zhang Q.,Journal,1998-03-01,March 1998,,,07342101,2,628-632,"Journal of Vacuum Science and Technology A: Vacuum, Surfaces and Films",http://api.elsevier.com/content/abstract/scopus_id/0032386482,16,ar,Article
SCOPUS_ID:85016612790,,Root abnormalities and nonsurgical management of generalized aggressive periodontitis,2-s2.0-85016612790,0,L¨¹ D.,Journal,2017-01-01,2017,10.2334/josnusd.16-0258,18804926,13434934,1,103-110,Journal of Oral Science,http://api.elsevier.com/content/abstract/scopus_id/85016612790,59,ar,Article
SCOPUS_ID:84888352946,,New attempts to modify periodontal risk assessment for generalized aggressive periodontitis: A retrospective study,2-s2.0-84888352946,6,L¨¹ D.,Journal,2013-11-01,November 2013,10.1902/jop.2013.12042,,00223492,11,1536-1545,Journal of Periodontology,http://api.elsevier.com/content/abstract/scopus_id/84888352946,84,ar,Article
SCOPUS_ID:84900349366,,[Long-term clinical and hematologic effects of non-surgical treatment on aggressive periodontitis].,2-s2.0-84900349366,1,Wang X.,Journal,2013-08-01,August 2013,,,10020098,8,467-471,Zhonghua kou qiang yi xue za zhi = Zhonghua kouqiang yixue zazhi = Chinese journal of stomatology,http://api.elsevier.com/content/abstract/scopus_id/84900349366,48,ar,Article
SCOPUS_ID:85031945535,,"Comparative Study of Famennian Carbon Isotope Characteristics of Junggar, Xinjiang and Central Hunan, South China",2-s2.0-85031945535,0,Zong P.,Journal,2017-09-20,20 September 2017,10.13209/j.0479-8023.2017.055,,04798023,5,843-861,Beijing Daxue Xuebao (Ziran Kexue Ban)/Acta Scientiarum Naturalium Universitatis Pekinensis,http://api.elsevier.com/content/abstract/scopus_id/85031945535,53,ar,Article
SCOPUS_ID:85018313264,,"Small-sized brachiopods from the Upper Frasnian (Devonian) of central Hunan, China",2-s2.0-85018313264,0,L¨¹ D.,Journal,2017-09-01,September 2017,10.1016/j.palwor.2017.01.005,,1871174X,3,456-478,Palaeoworld,http://api.elsevier.com/content/abstract/scopus_id/85018313264,26,ar,Article
SCOPUS_ID:85028299221,,"Temporal and Spatial Distribution of the Late Devonian (Famennian) Strata in the Northwestern Border of the Junggar Basin, Xinjiang, Northwestern China",2-s2.0-85028299221,1,Xueping M.,Journal,2017-08-01,August 2017,10.1111/1755-6724.13370,17556724,10009515,4,1413-1437,Acta Geologica Sinica,http://api.elsevier.com/content/abstract/scopus_id/85028299221,91,ar,Article
SCOPUS_ID:85026743595,e23908,Mitochondrial flashes regulate ATP homeostasis in the heart,2-s2.0-85026743595,1,Wang X.,Journal,2017-07-10,10 July 2017,10.7554/eLife.23908,2050084X,,,,eLife,http://api.elsevier.com/content/abstract/scopus_id/85026743595,6,ar,Article
SCOPUS_ID:84953244584,,Cyclophilin D regulates mitochondrial flashes and metabolism in cardiac myocytes,2-s2.0-84953244584,7,Shang W.,Journal,2016-02-01,"February 01, 2016",10.1016/j.yjmcc.2015.10.036,10958584,00222828,,63-71,Journal of Molecular and Cellular Cardiology,http://api.elsevier.com/content/abstract/scopus_id/84953244584,91,ar,Article
SCOPUS_ID:84963677257,e0152005,Downregulation of ¦Â-adrenoceptors in isoproterenol-induced cardiac remodeling through HuR,2-s2.0-84963677257,8,Yin Q.,Journal,2016-04-01,April 2016,10.1371/journal.pone.0152005,19326203,,4,,PLoS ONE,http://api.elsevier.com/content/abstract/scopus_id/84963677257,11,ar,Article
SCOPUS_ID:84901850611,,Danshensu inhibits ¦Â-adrenergic receptors-mediated cardiac fibrosis by ROS/p38 MAPK axis,2-s2.0-84901850611,24,Lu H.,Journal,2014-01-01,June 2014,10.1248/bpb.b13-00921,13475215,09186158,6,961-967,Biological and Pharmaceutical Bulletin,http://api.elsevier.com/content/abstract/scopus_id/84901850611,37,ar,Article
SCOPUS_ID:84862890501,,Binding interaction between prazosin and immobilized receptor by frontal analysis,2-s2.0-84862890501,4,Zhao X.,Journal,2012-04-01,April 2012,10.1007/s10337-012-2198-4,16121112,00095893,7-8,411-415,Chromatographia,http://api.elsevier.com/content/abstract/scopus_id/84862890501,75,ar,Article
SCOPUS_ID:85028558042,e1343831,"The cranial osteology revealed by three-dimensionally preserved skulls of the Early Triassic ichthyosauriform Chaohusaurus chaoxianensis (Reptilia: Ichthyosauromorpha) from Anhui, China",2-s2.0-85028558042,0,Zhou M.,Journal,2017-07-04,4 July 2017,10.1080/02724634.2017.1343831,19372809,02724634,4,,Journal of Vertebrate Paleontology,http://api.elsevier.com/content/abstract/scopus_id/85028558042,37,ar,Article
SCOPUS_ID:85020391603,,Middle Triassic Xingyi Fauna: Showing turnover of marine reptiles from coastal to oceanic environments,2-s2.0-85020391603,0,Lu H.,Journal,2017-02-17,"February 17, 2017",10.1016/j.palwor.2017.05.005,,1871174X,,,Palaeoworld,http://api.elsevier.com/content/abstract/scopus_id/85020391603,,ip,Article in Press
SCOPUS_ID:84966632813,,"Structural and behavioral characters of the Early Triassic Ichthyosauriformes from Chaohu, Anhui Province, and their implications on the origin of Ichthyopterygia",2-s2.0-84966632813,0,Lu H.,Journal,2016-03-20,20 March 2016,10.13209/j.0479-8023.2015.115,,04798023,2,234-240,Beijing Daxue Xuebao (Ziran Kexue Ban)/Acta Scientiarum Naturalium Universitatis Pekinensis,http://api.elsevier.com/content/abstract/scopus_id/84966632813,52,ar,Article
SCOPUS_ID:84904774857,181,ISL-1 is overexpressed in non-Hodgkin lymphoma and promotes lymphoma cell proliferation by forming a p-STAT3/p-c-Jun/ISL-1 complex,2-s2.0-84904774857,8,Zhang Q.,Journal,2014-07-29,"July 29, 2014",,14764598,,1,,Molecular Cancer,http://api.elsevier.com/content/abstract/scopus_id/84904774857,13,ar,Article
SCOPUS_ID:84900835264,,Wnt-promoted Isl1 expression through a novel TCF/LEF1 binding site and H3K9 acetylation in early stages of cardiomyocyte differentiation of P19CL6 cells,2-s2.0-84900835264,4,Lu H.,Journal,2014-01-01,June 2014,10.1007/s11010-014-2001-y,15734919,03008177,1-2,183-192,Molecular and Cellular Biochemistry,http://api.elsevier.com/content/abstract/scopus_id/84900835264,391,ar,Article
SCOPUS_ID:79958242694,,POU homeodomain protein OCT1 modulates islet 1 expression during cardiac differentiation of P19CL6 cells,2-s2.0-79958242694,10,Liu Y.,Journal,2011-06-01,June 2011,10.1007/s00018-010-0544-y,14209071,1420682X,11,1969-1982,Cellular and Molecular Life Sciences,http://api.elsevier.com/content/abstract/scopus_id/79958242694,68,ar,Article
SCOPUS_ID:84903391233,,Free paclitaxel loaded PEGylated-paclitaxel nanoparticles: Preparation and comparison with other paclitaxel systems in vitro and in vivo,2-s2.0-84903391233,27,Lu J.,Journal,2014-08-25,25 August 2014,10.1016/j.ijpharm.2014.05.032,18733476,03785173,1-2,525-535,International Journal of Pharmaceutics,http://api.elsevier.com/content/abstract/scopus_id/84903391233,471,ar,Article
SCOPUS_ID:84866148434,,The use of a tumor metastasis targeting peptide to deliver doxorubicin-containing liposomes to highly metastatic cancer,2-s2.0-84866148434,64,Wang Z.,Journal,2012-11-01,November 2012,10.1016/j.biomaterials.2012.08.031,18785905,01429612,33,8451-8460,Biomaterials,http://api.elsevier.com/content/abstract/scopus_id/84866148434,33,ar,Article
SCOPUS_ID:84861986282,,"Novel cathepsin B-sensitive paclitaxel conjugate: Higher water solubility, better efficacy and lower toxicity",2-s2.0-84861986282,48,Liang L.,Journal,2012-06-28,28 June 2012,10.1016/j.jconrel.2012.02.020,18734995,01683659,3,618-629,Journal of Controlled Release,http://api.elsevier.com/content/abstract/scopus_id/84861986282,160,ar,Article
SCOPUS_ID:70049110421,,Preparation of 9-nitrocamptothecin self-emulsification microemulsion and in vitro cytotoxicity evaluation,2-s2.0-70049110421,1,L¨¹ J.,Journal,2008-12-01,2008,,,10033734,10,861-865,Chinese Journal of New Drugs,http://api.elsevier.com/content/abstract/scopus_id/70049110421,17,ar,Article
SCOPUS_ID:53049094392,,Protection effect of self-emulsifying microemulsion on 9-nitrocamptothecin lactone form,2-s2.0-53049094392,0,Zhao S.,Journal,2008-08-01,August 2008,,,10012494,16,1243-1247,Chinese Pharmaceutical Journal,http://api.elsevier.com/content/abstract/scopus_id/53049094392,43,ar,Article
SCOPUS_ID:48149088784,,Self-microemulsifying drug delivery system (SMEDDS) improves anticancer effect of oral 9-nitrocamptothecin on human cancer xenografts in nude mice,2-s2.0-48149088784,48,Lu J.,Journal,2008-08-01,August 2008,10.1016/j.ejpb.2008.02.023,,09396411,3,899-907,European Journal of Pharmaceutics and Biopharmaceutics,http://api.elsevier.com/content/abstract/scopus_id/48149088784,69,ar,Article
SCOPUS_ID:84936855612,,"Board independence, ownership concentration and corporate performance-Chinese evidence",2-s2.0-84936855612,9,Li K.,Journal,2015-10-01,"October 01, 2015",10.1016/j.irfa.2015.05.024,,10575219,,162-175,International Review of Financial Analysis,http://api.elsevier.com/content/abstract/scopus_id/84936855612,41,ar,Article
SCOPUS_ID:84941767298,,Asset pricing in a monetary economy with heterogeneous beliefs,2-s2.0-84941767298,0,Croitoru B.,Journal,2015-01-01,1 September 2015,10.1287/mnsc.2014.1968,15265501,00251909,9,2203-2219,Management Science,http://api.elsevier.com/content/abstract/scopus_id/84941767298,61,ar,Article
SCOPUS_ID:84901456608,,"Asymmetric information, illiquidity and asset returns: Evidence from China",2-s2.0-84901456608,0,Li G.,Journal,2014-01-01,June 2014,10.1080/14697688.2013.823558,14697696,14697688,6,947-957,Quantitative Finance,http://api.elsevier.com/content/abstract/scopus_id/84901456608,14,ar,Article
SCOPUS_ID:0037454906,,Exchange rate reform and its inflationary consequences: An empirical analysis for China,2-s2.0-0037454906,10,Lu M.,Journal,2003-01-20,20 January 2003,10.1080/0003684022000017575,,00036846,2,189-199,Applied Economics,http://api.elsevier.com/content/abstract/scopus_id/0037454906,35,ar,Article
SCOPUS_ID:84958155143,,Tumor MET expression and gene amplification in Chinese patients with locally advanced or metastatic gastric or gastroesophageal junction cancer,2-s2.0-84958155143,6,Peng Z.,Journal,2015-11-01,1 November 2015,10.1158/1535-7163.MCT-15-0108,15388514,15357163,11,2634-2641,Molecular Cancer Therapeutics,http://api.elsevier.com/content/abstract/scopus_id/84958155143,14,ar,Article
SCOPUS_ID:84941260206,,Predictive value of serum HER2 ECD in patients with HER2-positive advanced gastric cancer treated with trastuzumab plus chemotherapy,2-s2.0-84941260206,6,Zhou J.,Journal,2015-09-11,11 September 2015,10.1007/s00535-015-1046-3,14355922,09441174,9,955-961,Journal of Gastroenterology,http://api.elsevier.com/content/abstract/scopus_id/84941260206,50,ar,Article
SCOPUS_ID:84908506555,,[Trastuzumab combined with chemotherapy in patients with HER2-positive chemo-refractory advanced gastric or gastro-esophageal junction adenocarcinoma].,2-s2.0-84908506555,3,Zhang X.,Journal,2014-01-01,Mar 2014,,,02533766,3,223-227,Zhonghua zhong liu za zhi [Chinese journal of oncology],http://api.elsevier.com/content/abstract/scopus_id/84908506555,36,ar,Article
SCOPUS_ID:79951893083,5689902,Digital closed-loop control based on adaptive filter for drive mode of a MEMS gyroscope,2-s2.0-79951893083,15,Liu D.,Conference Proceeding,2010-12-01,2010,10.1109/ICSENS.2010.5689902,,,,1722-1726,Proceedings of IEEE Sensors,http://api.elsevier.com/content/abstract/scopus_id/79951893083,,cp,Conference Paper
SCOPUS_ID:78649304994,5592263,An FPGA implementation of the LMS adaptive filter for MEMS gyroscope,2-s2.0-78649304994,4,Lu N.,Conference Proceeding,2010-11-29,2010,10.1109/NEMS.2010.5592263,,,,744-747,"2010 IEEE 5th International Conference on Nano/Micro Engineered and Molecular Systems, NEMS 2010",http://api.elsevier.com/content/abstract/scopus_id/78649304994,,cp,Conference Paper
SCOPUS_ID:77949599495,5397442,Digital control and performance test of a symmetrical doubly decoupled micro-machined gyroscope,2-s2.0-77949599495,3,Liu D.,Conference Proceeding,2009-12-01,2009,10.1109/PRIMEASIA.2009.5397442,,,,85-88,"1st Asia Pacific Conference on Postgraduate Research in Microelectronics and Electronics, PrimeAsia 2009",http://api.elsevier.com/content/abstract/scopus_id/77949599495,,cp,Conference Paper
SCOPUS_ID:21644436983,,Effectiveness and safety of simvastatin 40 mg daily use in treatment of coronary heart disease,2-s2.0-21644436983,0,Li B.,Journal,2005-06-01,June 2005,,,16722531,6,479-481,Chinese Journal of Evidence-Based Medicine,http://api.elsevier.com/content/abstract/scopus_id/21644436983,5,ar,Article
SCOPUS_ID:15844364761,,The effect of carvedilol on apoptosis gene PDCD5 expression in chronic heart failure patients,2-s2.0-15844364761,2,Wu Y.,Journal,2005-03-16,16 March 2005,,,03762491,10,676-678,National Medical Journal of China,http://api.elsevier.com/content/abstract/scopus_id/15844364761,85,ar,Article
SCOPUS_ID:0036690505,,The association between uric acid and coronary heart disease,2-s2.0-0036690505,13,Lu P.,Journal,2002-01-01,Aug 2002,,,05781426,8,526-529,Zhonghua nei ke za zhi [Chinese journal of internal medicine],http://api.elsevier.com/content/abstract/scopus_id/0036690505,41,ar,Article
SCOPUS_ID:84939817899,13272,"Identification of Bufavirus-1 and Bufavirus-3 in Feces of Patients with Acute Diarrhea, China",2-s2.0-84939817899,10,Huang D.,Journal,2015-08-19,19 August 2015,10.1038/srep13272,20452322,,,,Scientific Reports,http://api.elsevier.com/content/abstract/scopus_id/84939817899,5,ar,Article
SCOPUS_ID:84941299456,e0133622,Comparative study on serum levels of 10 trace elements in schizophrenia,2-s2.0-84941299456,2,Liu T.,Journal,2015-07-17,17 July 2015,10.1371/journal.pone.0133622,19326203,,7,,PLoS ONE,http://api.elsevier.com/content/abstract/scopus_id/84941299456,10,ar,Article
SCOPUS_ID:84945347921,6686,"Molecular epidemiology of human rhinovirus in children with acute respiratory diseases in Chongqing, China",2-s2.0-84945347921,5,Lu Q.,Journal,2014-10-20,20 October 2014,10.1038/srep06686,20452322,,,,Scientific Reports,http://api.elsevier.com/content/abstract/scopus_id/84945347921,4,ar,Article
SCOPUS_ID:85011016414,7789979,DNA Biosensor Applications for Poly-Silicon Nanowire Field-Effect Transistors,2-s2.0-85011016414,0,Lu S.,Conference Proceeding,2016-12-16,16 December 2016,10.1109/BIBE.2016.18,,,,182-185,"Proceedings - 2016 IEEE 16th International Conference on Bioinformatics and Bioengineering, BIBE 2016",http://api.elsevier.com/content/abstract/scopus_id/85011016414,,cp,Conference Paper
SCOPUS_ID:85007277376,7758213,An experimental and analytical method to observe the polysilicon Nanowire mosfet threshold voltage,2-s2.0-85007277376,0,Sheu G.,Conference Proceeding,2016-11-28,28 November 2016,10.1109/NEMS.2016.7758213,,,,121-124,"2016 IEEE 11th Annual International Conference on Nano/Micro Engineered and Molecular Systems, NEMS 2016",http://api.elsevier.com/content/abstract/scopus_id/85007277376,,cp,Conference Paper
SCOPUS_ID:84963623035,02037,Gate Engineering in SOI LDMOS for Device Reliability,2-s2.0-84963623035,0,Aanand,Conference Proceeding,2016-03-08,8 March 2016,10.1051/matecconf/20164402037,2261236X,,,,MATEC Web of Conferences,http://api.elsevier.com/content/abstract/scopus_id/84963623035,44,cp,Conference Paper
SCOPUS_ID:84928883295,,"Holocene paleoseismology of the middle and south segments of the north Zhongtiaoshan fault zone, Shanxi",2-s2.0-84928883295,0,Wang Y.,Journal,2015-01-01,1 March 2015,10.3969/j.issn.0253-4967.2015.01.001,,02534967,1,1-12,Dizhen Dizhi,http://api.elsevier.com/content/abstract/scopus_id/84928883295,37,ar,Article
SCOPUS_ID:84906941471,,"Holocene slip rate and paleoearthquake records of the Salt Lake segment of the Northern Zhongtiaoshan Fault, Shanxi Province",2-s2.0-84906941471,4,Si S.,Journal,2014-01-01,September 2014,10.1007/s11430-014-4887-3,,16747313,9,2079-2088,Science China Earth Sciences,http://api.elsevier.com/content/abstract/scopus_id/84906941471,57,ar,Article
SCOPUS_ID:84891280179,,Discovery and neotectonic significance of fault scarps on alluvial fans in the middle of northern piedmont of the Zhongtiao mountains,2-s2.0-84891280179,3,Tian J.,Journal,2013-11-01,November 2013,,,04798023,6,986-992,Beijing Daxue Xuebao (Ziran Kexue Ban)/Acta Scientiarum Naturalium Universitatis Pekinensis,http://api.elsevier.com/content/abstract/scopus_id/84891280179,49,ar,Article
SCOPUS_ID:84862687604,,"Gullies evolution and fault activities in Dushanzi, Xinjiang",2-s2.0-84862687604,0,Qian M.,Journal,2012-01-01,May 2012,,,03755444,5,681-688,Dili Xuebao/Acta Geographica Sinica,http://api.elsevier.com/content/abstract/scopus_id/84862687604,67,ar,Article
SCOPUS_ID:84859852642,,High frequency of CD4 +CD25 -CD69 + T cells is correlated with a low risk of acute graft-versus-host disease in allotransplants,2-s2.0-84859852642,14,Lu S.,Journal,2012-03-01,March 2012,10.1111/j.1399-0012.2012.01630.x,13990012,09020063,2,,Clinical Transplantation,http://api.elsevier.com/content/abstract/scopus_id/84859852642,26,ar,Article
SCOPUS_ID:79960061627,,High frequencies of CD62L + naive regulatory T cells in allografts are associated with a low risk of acute graft-versus-host disease following unmanipulated allogeneic haematopoietic stem cell transplantation,2-s2.0-79960061627,15,Lu S.,Journal,2011-08-01,August 2011,10.1111/j.1365-2249.2011.04418.x,13652249,00099104,2,264-277,Clinical and Experimental Immunology,http://api.elsevier.com/content/abstract/scopus_id/79960061627,165,ar,Article
SCOPUS_ID:78851472301,,IL-17-producing T cells contribute to acute graft-versus-host disease in patients undergoing unmanipulated blood and marrow transplantation,2-s2.0-78851472301,42,Zhao X.,Journal,2011-02-01,February 2011,10.1002/eji.201040793,15214141,00142980,2,514-526,European Journal of Immunology,http://api.elsevier.com/content/abstract/scopus_id/78851472301,41,ar,Article
SCOPUS_ID:77953447130,,Interleukin 2 promotes the expression of immunoglobulin G in a cervical cancer cell line HeLaS3,2-s2.0-77953447130,0,Lu T.,Journal,2009-04-18,18 April 2009,,,1671167X,2,158-161,Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences,http://api.elsevier.com/content/abstract/scopus_id/77953447130,41,ar,Article
SCOPUS_ID:77952997045,,Transfection of human hyperplasia suppressor gene and hyperthermia have a synergistically apoptotic effect on colon cancer cell HT-29 in vitro,2-s2.0-77952997045,0,Wu L.,Journal,2008-10-18,18 October 2008,,,1671167X,5,524-527,Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences,http://api.elsevier.com/content/abstract/scopus_id/77952997045,40,ar,Article
SCOPUS_ID:38349192557,,Adenovirus-expressed human hyperplasia suppressor gene induces apoptosis in cancer cells,2-s2.0-38349192557,27,Wu L.,Journal,2008-01-01,1 January 2008,10.1158/1535-7163.MCT-07-0382,,15357163,1,222-232,Molecular Cancer Therapeutics,http://api.elsevier.com/content/abstract/scopus_id/38349192557,7,ar,Article
SCOPUS_ID:84926420701,,The effects of piracetam on heroin-induced CPP and neuronal apoptosis in rats,2-s2.0-84926420701,2,Xu P.,Journal,2015-01-01,1 May 2015,10.1016/j.drugalcdep.2015.02.026,18790046,03768716,,141-146,Drug and Alcohol Dependence,http://api.elsevier.com/content/abstract/scopus_id/84926420701,150,ar,Article
SCOPUS_ID:84983268864,,"UFLC determination of the content of JWH-073 in ""Spike99"" spice",2-s2.0-84983268864,0,Xu P.,Journal,2012-12-20,20 December 2012,,,10015728,6,477-479,Chinese Journal of Forensic Medicine,http://api.elsevier.com/content/abstract/scopus_id/84983268864,27,ar,Article
SCOPUS_ID:85031798918,,"Prevalence, risk factors and clinical characteristics of osteoporosis in Chinese inpatients with schizophrenia",2-s2.0-85031798918,0,Cui J.,Journal,2017-01-01,2017,10.1016/j.schres.2017.10.027,15732509,09209964,,,Schizophrenia Research,http://api.elsevier.com/content/abstract/scopus_id/85031798918,,ip,Article in Press
SCOPUS_ID:84933497610,,Erratum: The Elimination Rate after Clozapine Overdose in Chinese Schizophrenia Patients: A Population Pharmacokinetics Model Study (Pharmacopsychiatry (2015) 48 DOI: 10.1055/s-0035-1554672),2-s2.0-84933497610,0,Li A.,Journal,2015-07-01,1 July 2015,10.1055/s-0035-1555803,14390795,01763679,4-5,e2,Pharmacopsychiatry,http://api.elsevier.com/content/abstract/scopus_id/84933497610,48,er,Erratum
SCOPUS_ID:84931400587,,The Elimination Rate after Clozapine Overdose in Chinese Schizophrenia Patients: A Population Pharmacokinetics Model Study,2-s2.0-84931400587,0,Li A.,Journal,2015-07-01,1 July 2015,10.1055/s-0035-1554672,14390795,01763679,4-5,150-155,Pharmacopsychiatry,http://api.elsevier.com/content/abstract/scopus_id/84931400587,48,ar,Article
SCOPUS_ID:33750490660,,Comments on Nigel Wiseman's A Practical Dictionary of Chinese Medicine: on the use of Western medical terms in English glossary of Chinese medicine,2-s2.0-33750490660,1,Xie Z.,Journal,2005-11-01,November 2005,,,10035370,11,1046-1049,"Zhongguo Zhong xi yi jie he za zhi Zhongguo Zhongxiyi jiehe zazhi = Chinese journal of integrated traditional and Western medicine / Zhongguo Zhong xi yi jie he xue hui, Zhongguo Zhong yi yan jiu yuan zhu ban",http://api.elsevier.com/content/abstract/scopus_id/33750490660,25,ar,Article
SCOPUS_ID:38049026920,,"Comments on Nigel Wiseman's ""A Practical Sictionary of Chinese Medicine""--on Wiseman' s literal translation",2-s2.0-38049026920,1,Xie Z.,Journal,2005-10-01,October 2005,,,10035370,10,937-940,"Zhongguo Zhong xi yi jie he za zhi Zhongguo Zhongxiyi jiehe zazhi = Chinese journal of integrated traditional and Western medicine / Zhongguo Zhong xi yi jie he xue hui, Zhongguo Zhong yi yan jiu yuan zhu ban",http://api.elsevier.com/content/abstract/scopus_id/38049026920,25,ar,Article
SCOPUS_ID:0037561614,,High-order harmonic generation by two non-collinear coherent femtosecond laser pulses,2-s2.0-0037561614,4,Lu W.,Journal,2003-06-01,June 2003,10.1088/0256-307X/20/6/320,,0256307X,6,848-851,Chinese Physics Letters,http://api.elsevier.com/content/abstract/scopus_id/0037561614,20,ar,Article
SCOPUS_ID:0141843525,,Influence of circular aperture on high-order harmonic generation,2-s2.0-0141843525,1,Liu T.,Journal,2003-06-01,June 2003,,,16717694,6,367-369,Chinese Optics Letters,http://api.elsevier.com/content/abstract/scopus_id/0141843525,1,ar,Article
SCOPUS_ID:0036714295,,Fifth-order harmonic generation using a coherent controlled two-pulsed optical field,2-s2.0-0036714295,3,Liu T.,Journal,2002-09-01,September 2002,10.1088/0256-307X/19/9/326,,0256307X,9,1301-1303,Chinese Physics Letters,http://api.elsevier.com/content/abstract/scopus_id/0036714295,19,ar,Article
SCOPUS_ID:21444431798,,Interaction of vitamin B<inf>6</inf> with the human serum albumin,2-s2.0-21444431798,3,Wang J.,Journal,2005-06-01,June 2005,,,10000593,6,912-915,Guang Pu Xue Yu Guang Pu Fen Xi/Spectroscopy and Spectral Analysis,http://api.elsevier.com/content/abstract/scopus_id/21444431798,25,ar,Article
SCOPUS_ID:15044349976,,Study on the interaction of anticancer drugs and DNA using fluorescence spectroscopy,2-s2.0-15044349976,5,Shen J.,Journal,2005-02-01,February 2005,,,10000593,2,232-234,Guang Pu Xue Yu Guang Pu Fen Xi/Spectroscopy and Spectral Analysis,http://api.elsevier.com/content/abstract/scopus_id/15044349976,25,ar,Article
SCOPUS_ID:85030130137,,Adiponectin receptor agonist AdipoRon suppresses adipogenesis in C3H10T1/2 cells through the adenosine monophosphate-activated protein kinase signaling pathway,2-s2.0-85030130137,0,Wang S.,Journal,2017-11-01,November 2017,10.3892/mmr.2017.7450,17913004,17912997,5,7163-7169,Molecular Medicine Reports,http://api.elsevier.com/content/abstract/scopus_id/85030130137,16,ar,Article
SCOPUS_ID:84960844832,e0149543,Rosiglitazone promotes bone marrow adipogenesis to impair myelopoiesis under stress,2-s2.0-84960844832,1,Lu W.,Journal,2016-02-01,February 2016,10.1371/journal.pone.0149543,19326203,,2,,PLoS ONE,http://api.elsevier.com/content/abstract/scopus_id/84960844832,11,ar,Article
SCOPUS_ID:84928796551,e0120629,Mitochondrial reactive oxygen species regulate adipocyte differentiation of mesenchymal stem cells in hematopoietic stress induced by arabinosylcytosine,2-s2.0-84928796551,23,Wang W.,Journal,2015-03-13,13 March 2015,10.1371/journal.pone.0120629,19326203,,3,,PLoS ONE,http://api.elsevier.com/content/abstract/scopus_id/84928796551,10,ar,Article
SCOPUS_ID:84924797945,,Social trust and risk perception of genetically modified food in urban areas of China: The role of salient value similarity,2-s2.0-84924797945,3,Lu X.,Journal,2015-01-01,7 February 2015,10.1080/13669877.2014.889195,14664461,13669877,2,199-214,Journal of Risk Research,http://api.elsevier.com/content/abstract/scopus_id/84924797945,18,ar,Article
SCOPUS_ID:84930345374,,Inverted u-shaped model: How frequent repetition affects perceived risk,2-s2.0-84930345374,4,Lu X.,Journal,2015-01-01,2015,,19302975,,3,219-224,Judgment and Decision Making,http://api.elsevier.com/content/abstract/scopus_id/84930345374,10,ar,Article
SCOPUS_ID:84930862909,,The public's risk percepetion on food additives and the influence factors,2-s2.0-84930862909,0,Chen S.,Journal,2015-01-01,31 March 2015,10.16429/j.1009-7848.2015.03.020,,10097848,3,151-157,Journal of Chinese Institute of Food Science and Technology,http://api.elsevier.com/content/abstract/scopus_id/84930862909,15,ar,Article
SCOPUS_ID:0034905576,,Molecular recognition in a reconstituted tumor cell membrane,2-s2.0-0034905576,5,Hu X.,Journal,2001-08-15,2001,10.1016/S0731-7085(01)00424-1,,07317085,2,219-224,Journal of Pharmaceutical and Biomedical Analysis,http://api.elsevier.com/content/abstract/scopus_id/0034905576,26,ar,Article
SCOPUS_ID:57249103207,,Operation and improvement of 4.5 MV Van de Graaff accelerator at Peking University,2-s2.0-57249103207,3,Wang J.,Journal,2008-09-01,September 2008,,,10006931,SUPPL.,229-232,Yuanzineng Kexue Jishu/Atomic Energy Science and Technology,http://api.elsevier.com/content/abstract/scopus_id/57249103207,42,ar,Article
